"Site_ID","ymdate","Q_vol_ft3_1","DA_sqft","runoff_ft"
"SR_02FL","2018-11",12147516,23433032.27168,0.518392833635999
"SR_02FL","2018-12",16437042,23433032.27168,0.70144750408017
"SR_02FL","2019-01",9869688,23433032.27168,0.421186975956501
"SR_02FL","2019-02",6826482,23433032.27168,0.29131876407861
"SR_02FL","2019-03",7311204,23433032.27168,0.312004179196047
"SR_02FL","2019-04",11027142,23433032.27168,0.470581095615477
"SR_02FL","2019-05",9451170,23433032.27168,0.403326803395488
"SR_02FL","2019-06",6348510,23433032.27168,0.270921403871086
"SR_02FL","2019-07",4745008.8,23433032.27168,0.202492308506509
"SR_02FL","2019-08",2794521.6,23433032.27168,0.119255654479566
"SR_02FL","2019-09",1969428.6,23433032.27168,0.0840449745114786
"SR_02FL","2019-10",3301536.6,23433032.27168,0.140892418946142
"SR_02FL","2019-11",7821972,23433032.27168,0.333801102192534
"SR_02FL","2019-12",5771898,23433032.27168,0.246314601246704
"SR_02FL","2020-01",10166004,23433032.27168,0.433832202428455
"SR_02FL","2020-02",9640404,23433032.27168,0.411402326776587
"SR_02FL","2020-03",4220812.8,23433032.27168,0.180122348275902
"SR_02FL","2020-04",7005798,23433032.27168,0.298971038778744
"SR_02FL","2020-05",13263534,23433032.27168,0.566018680221324
"SR_02FL","2020-06",10399680,23433032.27168,0.443804279336419
"SR_02FL","2020-07",3929043.6,23433032.27168,0.167671155591265
"SR_02FL","2020-08",9508723.2,23433032.27168,0.405782874779367
"SR_02FL","2020-09",7630164,23433032.27168,0.325615733872455
"SR_02FL","2020-10",8484300,23433032.27168,0.362065818099594
"SR_02FL","2020-11",8691282,23433032.27168,0.370898733857157
"SR_02FL","2020-12",9584172,23433032.27168,0.409002637340408
"SR_02FL","2021-01",5246863.2,23433032.27168,0.223908845392625
"SR_02FL","2021-02",2719715.4,23433032.27168,0.11606331474595
"SR_02FL","2021-03",6267385.8,23433032.27168,0.267459444741791
"SR_02FL","2021-04",6161133.6,23433032.27168,0.262925153201195
"SR_02FL","2021-05",2467045.8,23433032.27168,0.105280689728813
"SR_02FL","2021-06",1923404.4,23433032.27168,0.0820809009137299
"SR_02FL","2021-07",1357903.8,23433032.27168,0.0579482750783856
"SR_02FL","2021-08",1716264,23433032.27168,0.0732412254676144
"SR_02FL","2021-09",6773920.2,23433032.27168,0.289075699698781
"SR_02FL","2021-10",0,23433032.27168,0
"SR_03FL","2018-11",15802866,35705401.7534,0.442590342748214
"SR_03FL","2018-12",29161854,35705401.7534,0.816735075589035
"SR_03FL","2019-01",12602305.8,35705401.7534,0.352952359618806
"SR_03FL","2019-02",8465544,35705401.7534,0.237094209399111
"SR_03FL","2019-03",9396198,35705401.7534,0.26315900504061
"SR_03FL","2019-04",16819704,35705401.7534,0.471068890812813
"SR_03FL","2019-05",11840076,35705401.7534,0.331604614948004
"SR_03FL","2019-06",6945354,35705401.7534,0.194518298602778
"SR_03FL","2019-07",4820284.8,35705401.7534,0.135001556159244
"SR_03FL","2019-08",2570022,35705401.7534,0.0719785207221558
"SR_03FL","2019-09",1672282.8,35705401.7534,0.0468355687901134
"SR_03FL","2019-10",4074625.8,35705401.7534,0.114117909333201
"SR_03FL","2019-11",10107162,35705401.7534,0.283070950154974
"SR_03FL","2019-12",6524730,35705401.7534,0.182737896217025
"SR_03FL","2020-01",13248918,35705401.7534,0.371062006009732
"SR_03FL","2020-02",11602386,35705401.7534,0.324947639019219
"SR_03FL","2020-03",5006664,35705401.7534,0.140221472218087
"SR_03FL","2020-04",10066500,35705401.7534,0.281932130872647
"SR_03FL","2020-05",27537444,35705401.7534,0.771240278717149
"SR_03FL","2020-06",16738560,35705401.7534,0.468796293502176
"SR_03FL","2020-07",5961492,35705401.7534,0.166963308274002
"SR_03FL","2020-08",19400868,35705401.7534,0.54335946515859
"SR_03FL","2020-09",12616290,35705401.7534,0.353344014643348
"SR_03FL","2020-10",14075316,35705401.7534,0.394206907324876
"SR_03FL","2020-11",16048476,35705401.7534,0.449469133853726
"SR_03FL","2020-12",23524956,35705401.7534,0.658862660682984
"SR_03FL","2021-01",10665360,35705401.7534,0.298704382985535
"SR_03FL","2021-02",5819940,35705401.7534,0.162998866115428
"SR_03FL","2021-03",12384360,35705401.7534,0.346848358843091
"SR_03FL","2021-04",10700208,35705401.7534,0.299680369763129
"SR_03FL","2021-05",4666352.4,35705401.7534,0.130690376549415
"SR_03FL","2021-06",3419706.6,35705401.7534,0.0957756090694138
"SR_03FL","2021-07",1694458.8,35705401.7534,0.0474566512849459
"SR_03FL","2021-08",2541861,35705401.7534,0.0711898165312747
"SR_03FL","2021-09",16360614,35705401.7534,0.458211172443735
"SR_03FL","2021-10",0,35705401.7534,0
"SR_06FL","2019-05",0,78897263.75092,0
"SR_06FL","2019-06",8296920,78897263.75092,0.105161061430388
"SR_06FL","2019-07",9524286,78897263.75092,0.120717570511296
"SR_06FL","2019-08",6726888,78897263.75092,0.0852613599026311
"SR_06FL","2019-09",3746215.8,78897263.75092,0.0474822018140815
"SR_06FL","2019-10",6859746,78897263.75092,0.0869452966284906
"SR_06FL","2019-11",21872466,78897263.75092,0.277227180768293
"SR_06FL","2019-12",17078760,78897263.75092,0.216468343616046
"SR_06FL","2020-01",30655098,78897263.75092,0.388544501324896
"SR_06FL","2020-02",28851768,78897263.75092,0.365687815119743
"SR_06FL","2020-03",11722050,78897263.75092,0.148573593591366
"SR_06FL","2020-04",22505634,78897263.75092,0.28525240204845
"SR_06FL","2020-05",35955198,78897263.75092,0.455721735971873
"SR_06FL","2020-06",24988410,78897263.75092,0.316720869799602
"SR_06FL","2020-07",10174230,78897263.75092,0.12895542273963
"SR_06FL","2020-08",34281810,78897263.75092,0.434512027035922
"SR_06FL","2020-09",25043022,78897263.75092,0.317413061105151
"SR_06FL","2020-10",27174528,78897263.75092,0.344429283197836
"SR_06FL","2020-11",36296370,78897263.75092,0.460045992400804
"SR_06FL","2020-12",46724220,78897263.75092,0.592215975290463
"SR_06FL","2021-01",32921496,78897263.75092,0.417270440505183
"SR_06FL","2021-02",22082310,78897263.75092,0.27988689277887
"SR_06FL","2021-03",34321050,78897263.75092,0.435009382687239
"SR_06FL","2021-04",30140262,78897263.75092,0.382019103921694
"SR_06FL","2021-05",13961034,78897263.75092,0.176952068250113
"SR_06FL","2021-06",11098854,78897263.75092,0.140674764527186
"SR_06FL","2021-07",4968694.8,78897263.75092,0.0629767695833692
"SR_06FL","2021-08",4708418.4,78897263.75092,0.0596778414884521
"SR_06FL","2021-09",19757754,78897263.75092,0.25042381776858
"SR_06FL","2021-10",0,78897263.75092,0
"SR_07FL","2019-05",0,81711649.63384,0
"SR_07FL","2019-06",9865224,81711649.63384,0.120732160520651
"SR_07FL","2019-07",11359512,81711649.63384,0.139019491723682
"SR_07FL","2019-08",6367122,81711649.63384,0.0779218389119772
"SR_07FL","2019-09",3895201.8,81711649.63384,0.0476700913205752
"SR_07FL","2019-10",5997772.8,81711649.63384,0.0734016854007569
"SR_07FL","2019-11",17835120,81711649.63384,0.218268999340013
"SR_07FL","2019-12",16006392,81711649.63384,0.195888738897411
"SR_07FL","2020-01",27296460,81711649.63384,0.334058364043791
"SR_07FL","2020-02",26168058,81711649.63384,0.320248803166529
"SR_07FL","2020-03",12164724,81711649.63384,0.148873802628042
"SR_07FL","2020-04",21270348,81711649.63384,0.260309859063121
"SR_07FL","2020-05",36808272,81711649.63384,0.450465413009558
"SR_07FL","2020-06",25827138,81711649.63384,0.316076570669355
"SR_07FL","2020-07",10365138,81711649.63384,0.126850186557822
"SR_07FL","2020-08",27047358,81711649.63384,0.331009814649472
"SR_07FL","2020-09",20680794,81711649.63384,0.253094804629122
"SR_07FL","2020-10",21502098,81711649.63384,0.263146051956527
"SR_07FL","2020-11",24526998,81711649.63384,0.300165253178812
"SR_07FL","2020-12",30140316,81711649.63384,0.368861920363406
"SR_07FL","2021-01",17444790,81711649.63384,0.213492079503624
"SR_07FL","2021-02",11041344,81711649.63384,0.135125701775422
"SR_07FL","2021-03",21315888,81711649.63384,0.260867184734602
"SR_07FL","2021-04",20668716,81711649.63384,0.252946992168425
